company_id,company_name,company_country,phase,role_tier1,role_tier2,role_tier2_all,share,share_basis,origin,also_stated_by,gem_unit_id,gem_location_id,plant_name,country,fuel_type,status,capacity_mw,start_year,scenario,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction,tier,latitude,longitude,source_url
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.015,equity_share,gem,,G100000111280,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S1,27197056.659,407955.85,14734298.083,221014.471,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.015,equity_share,gem,,G100000111280,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S2,27197056.659,407955.85,14734298.083,221014.471,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.073,equity_share,gem,,G100000111281,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S1,27197056.659,1985385.136,14734298.083,1075603.76,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.073,equity_share,gem,,G100000111281,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S2,27197056.659,1985385.136,14734298.083,1075603.76,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.015,equity_share,gem,,G100000111281,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S1,27197056.659,407955.85,14734298.083,221014.471,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.015,equity_share,gem,,G100000111281,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S2,27197056.659,407955.85,14734298.083,221014.471,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.073,equity_share,gem,,G100000111282,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S1,27197056.659,1985385.136,14734298.083,1075603.76,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.073,equity_share,gem,,G100000111282,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S2,27197056.659,1985385.136,14734298.083,1075603.76,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.015,equity_share,gem,,G100000111282,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S1,27197056.659,407955.85,14734298.083,221014.471,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.015,equity_share,gem,,G100000111282,L100000101543,Yangcheng power station,CN,coal,operating,350.0,2002,S2,27197056.659,407955.85,14734298.083,221014.471,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.099,equity_share,gem,,G100000111283,L100000101543,Yangcheng power station,CN,coal,operating,600.0,2007,S1,52640610.933,5211420.482,34405362.616,3406130.899,liability,C,35.466123,112.5742039,https://www.gem.wiki/Yangcheng_power_station
